Log Time,Period(ms),Service,Operation
2018-07-10 18:02:44,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:44,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:44,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:44,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:45,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:45,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:45,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:45,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:45,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:46,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:46,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:46,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:46,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:46,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:46,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:47,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:47,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:47,4,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:47,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:47,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:48,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:48,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:48,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:48,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:48,2,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:48,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:49,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:49,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:02:49,3,CommonService,customerWS/inquiryKPlusAcceptResult
2018-07-10 18:03:37,13,CommonService,statusRejectWS/getRejectList/H6100488R0
2018-07-10 18:03:38,415,CommonService,addressWS/getAllAddress
2018-07-10 18:03:57,1314,CommonService,addressWS/getAllAddress
2018-07-10 18:04:20,3,CommonService,ConfHomeBuilderWS/getConfHomeBuilder
2018-07-10 18:04:20,2,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-10 18:04:25,5213,CommonService,ConfHousingGradeWS/getConfHousingGrade
2018-07-10 18:05:19,13,CommonService,statusRejectWS/getRejectList/H6100488R0
2018-07-10 18:05:31,3,CommonService,ConfMrtaValidationWS/getConfMrtaValidation
2018-07-10 18:05:37,3,CommonService,WorkflowWS/logout
2018-07-10 18:05:46,45,CommonService,UnsecureWS/login
2018-07-10 18:05:47,31,CommonService,WorkflowWS/listUserInbox
2018-07-10 18:05:53,239,CommonService,WorkflowWS/openCaseByAppNo/H61003EBR0
2018-07-10 18:05:55,107,CommonService,statusRejectWS/getRejectList/H61003EBR0
2018-07-10 18:06:05,11,CommonService,statusRejectWS/getRejectList/H6100488R0
2018-07-10 18:06:08,7,CommonService,employeeWS/findDSAEmployee/149011
2018-07-10 18:06:13,20,CommonService,statusRejectWS/getRejectList/H61003EBR0
2018-07-10 18:06:22,14,CommonService,statusRejectWS/getRejectList/H6100488R0
