MaxPeriod(ms),MinPeriod(ms),AvgPeriod(ms),Amount,AxAvg,Service,Operation
131,4,24,303,7272,CommonService,userParameterConfigWS/searchUserByEmployeeId
10,10,10,1,10,HomeLoanService,HomeLoanWS/doBack/approve-020/verify-customer
12,12,12,1,12,HomeLoanService,HomeLoanWS/doBack/approve-020/verify-summary
14,9,11,2,22,HomeLoanService,HomeLoanWS/doBack/prepare-010/basic-repayment-ability
19,17,18,2,36,HomeLoanService,HomeLoanWS/doBack/prepare-020/income
13,13,13,1,13,HomeLoanService,HomeLoanWS/doBack/prepare-020/loan-info
23,10,16,10,160,HomeLoanService,HomeLoanWS/doBack/prepare-021/package
22,15,17,6,102,HomeLoanService,HomeLoanWS/doBack/prepare-021/summary-package
18,18,18,1,18,HomeLoanService,HomeLoanWS/doBack/prepare-022/summary-package
27,20,23,2,46,HomeLoanService,HomeLoanWS/doBack/prepare-030/sale-channel
33,33,33,1,33,HomeLoanService,HomeLoanWS/doBack/prepare-030/summary-result
23,16,19,7,133,HomeLoanService,HomeLoanWS/doCancel/prepare-030
72742,24,7306,10,73060,HomeLoanService,HomeLoanWS/doNavigate/prepare-021
50,29,36,6,216,HomeLoanService,HomeLoanWS/doNavigate/prepare-022
116,29,55,9,495,HomeLoanService,HomeLoanWS/doNavigate/prepare-030
34,17,27,5,135,HomeLoanService,HomeLoanWS/doNext/approve-010/credit-limit-detail
529,134,203,15,3045,HomeLoanService,HomeLoanWS/doNext/approve-010/verify-document
20,17,18,4,72,HomeLoanService,HomeLoanWS/doNext/approve-020/application-detail
411,49,172,17,2924,HomeLoanService,HomeLoanWS/doNext/approve-020/approve-decision
91,49,70,4,280,HomeLoanService,HomeLoanWS/doNext/approve-020/collateral-acting
72,19,38,23,874,HomeLoanService,HomeLoanWS/doNext/approve-020/credit-exposure
98,19,42,23,966,HomeLoanService,HomeLoanWS/doNext/approve-020/credit-limit-detail
305,18,109,19,2071,HomeLoanService,HomeLoanWS/doNext/approve-020/debt-exposure
144,64,100,12,1200,HomeLoanService,HomeLoanWS/doNext/approve-020/partial-installment
150,19,45,24,1080,HomeLoanService,HomeLoanWS/doNext/approve-020/relationship
396,68,145,22,3190,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-customer
181,133,154,9,1386,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-document
404,70,153,23,3519,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-hr
365,25,78,26,2028,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-income
479683,107,40894,26,1063244,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-summary
454,71,163,25,4075,HomeLoanService,HomeLoanWS/doNext/approve-020/verify-website
56,37,46,2,92,HomeLoanService,HomeLoanWS/doNext/approve-030/application-detail
1309,162,446,10,4460,HomeLoanService,HomeLoanWS/doNext/approve-030/approve-decision
60,60,60,1,60,HomeLoanService,HomeLoanWS/doNext/approve-030/collateral-acting
133,42,79,5,395,HomeLoanService,HomeLoanWS/doNext/approve-030/credit-exposure
384,45,172,5,860,HomeLoanService,HomeLoanWS/doNext/approve-030/credit-limit-detail
251,45,101,4,404,HomeLoanService,HomeLoanWS/doNext/approve-030/debt-exposure
145,78,98,5,490,HomeLoanService,HomeLoanWS/doNext/approve-030/partial-installment
248,42,106,5,530,HomeLoanService,HomeLoanWS/doNext/approve-030/relationship
483,135,305,6,1830,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-customer
1289,154,477,4,1908,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-document
487,131,268,5,1340,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-hr
134,50,85,5,425,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-income
785,152,399,5,1995,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-summary
472,132,350,5,1750,HomeLoanService,HomeLoanWS/doNext/approve-030/verify-website
44,44,44,1,44,HomeLoanService,HomeLoanWS/doNext/approve-040/application-detail
252,190,221,2,442,HomeLoanService,HomeLoanWS/doNext/approve-040/approve-decision
90,90,90,1,90,HomeLoanService,HomeLoanWS/doNext/approve-040/credit-exposure
78,78,78,1,78,HomeLoanService,HomeLoanWS/doNext/approve-040/credit-limit-detail
171,171,171,1,171,HomeLoanService,HomeLoanWS/doNext/approve-040/debt-exposure
138,138,138,1,138,HomeLoanService,HomeLoanWS/doNext/approve-040/partial-installment
86,86,86,1,86,HomeLoanService,HomeLoanWS/doNext/approve-040/relationship
223,223,223,1,223,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-customer
170,170,170,1,170,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-document
243,243,243,1,243,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-hr
78,78,78,1,78,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-income
239,239,239,1,239,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-summary
228,228,228,1,228,HomeLoanService,HomeLoanWS/doNext/approve-040/verify-website
450,123,205,8,1640,HomeLoanService,HomeLoanWS/doNext/approve-060/approve-decision
160,91,125,2,250,HomeLoanService,HomeLoanWS/doNext/approve-060/collateral-acting
83,37,65,4,260,HomeLoanService,HomeLoanWS/doNext/approve-060/credit-exposure
95,40,68,4,272,HomeLoanService,HomeLoanWS/doNext/approve-060/credit-limit-detail
78,46,66,4,264,HomeLoanService,HomeLoanWS/doNext/approve-060/debt-exposure
814,58,236,5,1180,HomeLoanService,HomeLoanWS/doNext/approve-060/partial-installment
88,36,66,4,264,HomeLoanService,HomeLoanWS/doNext/approve-060/relationship
253,145,183,3,549,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-customer
234,169,204,3,612,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-document
463,153,257,3,771,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-hr
149,65,94,3,282,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-income
164,134,150,3,450,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-summary
531,146,278,3,834,HomeLoanService,HomeLoanWS/doNext/approve-060/verify-website
1039,28,86,24,2064,HomeLoanService,HomeLoanWS/doNext/prepare-010/cust-info
221,70,115,34,3910,HomeLoanService,HomeLoanWS/doNext/prepare-020/income
663,9,164,34,5576,HomeLoanService,HomeLoanWS/doNext/prepare-020/personal-info
2003,422,946,29,27434,HomeLoanService,HomeLoanWS/doNext/prepare-021/package
250,53,116,42,4872,HomeLoanService,HomeLoanWS/doNext/prepare-030/sale-channel
192,75,122,11,1342,HomeLoanService,HomeLoanWS/doPreload/approve-010/application-detail
59,59,59,1,59,HomeLoanService,HomeLoanWS/doPreload/approve-010/basic-repayment-ability
870,228,641,8,5128,HomeLoanService,HomeLoanWS/doPreload/approve-010/collateral-acting
378,165,280,8,2240,HomeLoanService,HomeLoanWS/doPreload/approve-010/credit-exposure
475,185,326,7,2282,HomeLoanService,HomeLoanWS/doPreload/approve-010/credit-limit-detail
356,83,190,16,3040,HomeLoanService,HomeLoanWS/doPreload/approve-010/cust-info
2387,297,928,6,5568,HomeLoanService,HomeLoanWS/doPreload/approve-010/debt-exposure
285,285,285,1,285,HomeLoanService,HomeLoanWS/doPreload/approve-010/loan-info
1151,492,779,16,12464,HomeLoanService,HomeLoanWS/doPreload/approve-010/partial-installment
345,87,195,3,585,HomeLoanService,HomeLoanWS/doPreload/approve-010/personal-info
1061,105,354,23,8142,HomeLoanService,HomeLoanWS/doPreload/approve-010/relationship
30,30,30,1,30,HomeLoanService,HomeLoanWS/doPreload/approve-010/sale-channel
375,275,334,5,1670,HomeLoanService,HomeLoanWS/doPreload/approve-010/summary-result
1014,259,411,59,24249,HomeLoanService,HomeLoanWS/doPreload/approve-010/verify-document
403,53,134,33,4422,HomeLoanService,HomeLoanWS/doPreload/approve-020/application-detail
983,66,443,24,10632,HomeLoanService,HomeLoanWS/doPreload/approve-020/approve-decision
1054,278,565,25,14125,HomeLoanService,HomeLoanWS/doPreload/approve-020/approve-summary
140,5,35,6,210,HomeLoanService,HomeLoanWS/doPreload/approve-020/basic-repayment-ability
1032,116,444,38,16872,HomeLoanService,HomeLoanWS/doPreload/approve-020/collateral-acting
770,72,244,28,6832,HomeLoanService,HomeLoanWS/doPreload/approve-020/credit-exposure
778,12,254,28,7112,HomeLoanService,HomeLoanWS/doPreload/approve-020/credit-limit-detail
1144,82,391,10,3910,HomeLoanService,HomeLoanWS/doPreload/approve-020/cust-info
2997,185,702,30,21060,HomeLoanService,HomeLoanWS/doPreload/approve-020/debt-exposure
1046,84,258,7,1806,HomeLoanService,HomeLoanWS/doPreload/approve-020/income
741,162,346,11,3806,HomeLoanService,HomeLoanWS/doPreload/approve-020/loan-info
2019,325,719,24,17256,HomeLoanService,HomeLoanWS/doPreload/approve-020/partial-installment
1017,83,313,9,2817,HomeLoanService,HomeLoanWS/doPreload/approve-020/personal-info
389,21,73,77,5621,HomeLoanService,HomeLoanWS/doPreload/approve-020/policy-check
1651,103,315,34,10710,HomeLoanService,HomeLoanWS/doPreload/approve-020/relationship
180,20,56,6,336,HomeLoanService,HomeLoanWS/doPreload/approve-020/sale-channel
916,269,518,11,5698,HomeLoanService,HomeLoanWS/doPreload/approve-020/summary-package
548,275,362,6,2172,HomeLoanService,HomeLoanWS/doPreload/approve-020/summary-result
